,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
157,Nick Foles,Eagles,2018,2,,"$29,000,000","$14,500,000","$5,000,000",,8.2%,,"$45,693,002","$22,846,501","$7,878,104"
158,Ryan Fitzpatrick,Bills,2011,6,,"$59,000,000","$9,833,333","$24,000,000",,8.2%,,"$136,845,691","$22,807,614","$55,666,044"
159,Vince Young,Titans,2006,4,,"$48,040,020","$8,006,670","$25,740,020",,7.8%,,"$131,497,780","$21,916,297","$70,456,996"
160,Jake Plummer,Broncos,2003,7,,"$40,834,725","$5,833,532","$7,000,000",,7.8%,,"$151,999,883","$21,714,268","$26,056,235"
161,Ryan Fitzpatrick,Jets,2016,1,,"$12,000,000","$12,000,000","$12,000,000",,7.7%,,"$21,577,897","$21,577,897","$21,577,897"
162,Mark Sanchez,Jets,2009,5,,"$47,500,000","$9,500,000","$28,000,000",,7.7%,,"$107,821,138","$21,564,228","$63,557,724"
163,Mark Brunell,Commanders,2004,7,,"$43,360,000","$6,194,286","$8,600,000",,7.7%,,"$150,233,452","$21,461,923","$29,797,225"
164,Ben Roethlisberger,Steelers,2021,1,,"$14,000,000","$14,000,000","$14,000,000",,7.7%,,"$21,418,082","$21,418,082","$21,418,082"
165,Drew Bledsoe,Bills,2004,3,,"$18,500,000","$6,166,667","$6,500,000",,7.7%,,"$64,098,682","$21,366,229","$22,521,159"
166,Brian Griese,Buccaneers,2005,5,,"$32,265,000","$6,453,000","$3,000,000",,7.5%,,"$105,361,263","$21,072,253","$9,796,491"
167,Brian Griese,Buccaneers,2004,3,,"$17,950,000","$5,983,333","$400,000",,7.4%,,"$62,193,046","$20,731,014","$1,385,917"
168,Baker Mayfield,CAR/LAR,2022,1,,"$15,358,000","$15,358,000","$15,358,000",,7.4%,,"$20,595,358","$20,595,358","$20,595,358"
169,Matt Schaub,Texans,2007,6,,"$48,000,000","$8,000,000","$7,000,000",,7.3%,,"$122,950,459","$20,491,743","$17,930,275"
170,Matt Hasselbeck,Seahawks,2000,4,,"$18,105,000","$4,526,250","$2,000,000",,7.3%,,"$81,305,346","$20,326,337","$8,981,535"
171,Justin Fields,Jets,2025,2,,"$40,000,000","$20,000,000","$30,000,000",,7.2%,,"$40,000,000","$20,000,000","$30,000,000"
172,Carson Palmer,Cardinals,2013,2,,"$17,000,000","$8,500,000","$10,000,000",,6.9%,,"$38,588,618","$19,294,309","$22,699,187"
173,Derek Anderson,Browns,2008,3,,"$24,000,000","$8,000,000","$7,000,000",,6.9%,,"$57,765,517","$19,255,172","$16,848,276"
174,Jameis Winston,Saints,2022,2,,"$28,000,000","$14,000,000","$21,000,000",,6.7%,,"$37,548,511","$18,774,256","$28,161,383"
175,Alex Smith,KC/SF,2012,3,,"$24,000,000","$8,000,000","$15,500,000",,6.6%,,"$55,562,189","$18,520,730","$35,883,914"
176,Kyle Orton,DEN/KC,2010,1,,"$8,379,000","$8,379,000","$5,500,000",,6.5%,,"$18,135,014","$18,135,014","$11,903,876"
177,Teddy Bridgewater,DEN/CAR,2021,1,,"$11,500,000","$11,500,000","$10,062,500",,6.3%,,"$17,593,425","$17,593,425","$15,394,247"
178,Michael Vick,Eagles,2013,1,,"$7,500,000","$7,500,000","$3,500,000",,6.1%,,"$17,024,390","$17,024,390","$7,944,715"
179,Jordan Love,Packers,2023,1,,"$13,500,000","$13,500,000","$13,000,000",,6.0%,,"$16,766,904","$16,766,904","$16,145,907"
180,Jay Cutler,Dolphins,2017,1,,"$10,000,000","$10,000,000","$5,000,000",,6.0%,,"$16,718,563","$16,718,563","$8,359,281"
181,Josh McCown,Jets,2018,1,,"$10,000,000","$10,000,000","$5,000,000",,5.6%,,"$15,756,208","$15,756,208","$7,878,104"
182,Jay Cutler,Broncos,2006,6,,"$34,112,500","$5,685,417","$11,325,000",,5.6%,,"$93,374,608","$15,562,436","$30,999,412"
183,Matt Hasselbeck,Titans,2011,3,,"$20,000,000","$6,666,667","$6,000,000",,5.5%,,"$46,388,370","$15,462,791","$13,916,511"
184,Ryan Fitzpatrick,Commanders,2021,1,,"$10,000,000","$10,000,000","$6,000,000",,5.5%,,"$15,298,630","$15,298,630","$9,179,178"
185,Andy Dalton,Bears,2021,1,,"$10,000,000","$10,000,000","$7,000,000",,5.5%,,"$15,298,630","$15,298,630","$10,709,041"
186,Steve McNair,Ravens,2006,4,,"$22,000,000","$5,500,000","$11,000,000",,5.4%,,"$60,219,608","$15,054,902","$30,109,804"
187,Matt Flynn,Seahawks,2012,3,,"$19,500,000","$6,500,000","$10,000,000",,5.4%,,"$45,144,279","$15,048,093","$23,150,912"
188,Matt Leinart,Cardinals,2006,6,,"$32,860,000","$5,476,667",$0,,5.4%,,"$89,946,196","$14,991,034",$0
189,Brian Griese,Dolphins,2003,2,,"$8,000,000","$4,000,000","$1,000,000",,5.3%,,"$29,778,554","$14,889,277","$3,722,319"
190,Taysom Hill,Saints,2020,2,,"$21,000,000","$10,500,000","$17,439,000",,5.3%,,"$29,582,240","$14,791,120","$24,565,937"
191,Charlie Whitehurst,Seahawks,2010,1,,"$6,824,000","$6,824,000","$2,000,000",,5.3%,,"$14,769,464","$14,769,464","$4,328,682"
192,Drew Bledsoe,Cowboys,2005,3,,"$13,500,000","$4,500,000","$3,500,000",,5.3%,,"$44,084,211","$14,694,737","$11,429,240"
193,Ben Roethlisberger,Steelers,2004,6,,"$25,219,500","$4,203,250","$9,009,500",,5.2%,,"$87,380,363","$14,563,394","$31,216,058"
194,Matt Schaub,Raiders,2014,2,,"$13,500,000","$6,750,000",$0,,5.1%,,"$28,339,850","$14,169,925",$0
195,Trevor Lawrence,Jaguars,2021,4,,"$36,793,486","$9,198,372","$36,783,486",,5.0%,,"$56,288,993","$14,072,249","$56,273,695"
196,Daniel Jones,Colts,2025,1,,"$14,000,000","$14,000,000","$13,150,000",,5.0%,,"$14,000,000","$14,000,000","$13,150,000"
197,Kurt Warner,Cardinals,2006,3,,"$15,000,000","$5,000,000","$3,000,000",,4.9%,,"$41,058,824","$13,686,275","$8,211,765"
198,Gardner Minshew,Raiders,2024,2,,"$25,000,000","$12,500,000","$15,000,000",,4.9%,,"$27,329,679","$13,664,839","$16,397,807"
199,Robert Griffin III,Browns,2016,2,,"$15,000,000","$7,500,000","$6,750,000",,4.8%,,"$26,972,371","$13,486,185","$12,137,567"
200,Zach Wilson,DEN/NYJ,2021,4,,"$35,150,680","$8,787,695","$35,150,680",,4.8%,,"$53,775,725","$13,443,970","$53,775,725"
201,Kurt Warner,Cardinals,2005,1,,"$4,000,000","$4,000,000","$2,000,000",,4.7%,,"$13,061,988","$13,061,988","$6,530,994"
202,Matt Flynn,Raiders,2013,2,,"$11,500,000","$5,750,000","$6,500,000",,4.7%,,"$26,104,065","$13,052,033","$14,754,472"
203,Trey Lance,SF/DAL,2021,4,,"$34,105,258","$8,526,315","$34,105,258",,4.7%,,"$52,176,373","$13,044,094","$52,176,373"
204,Kyler Murray,Cardinals,2019,4,,"$35,158,644","$8,789,661","$35,158,644",,4.7%,,"$52,158,838","$13,039,710","$52,158,838"
205,Baker Mayfield,Browns,2018,4,,"$32,682,980","$8,170,745","$32,682,980",,4.6%,,"$51,495,982","$12,873,996","$51,495,982"
206,Andrew Luck,Colts,2012,4,,"$22,107,998","$5,527,000","$22,107,998",,4.6%,,"$51,182,032","$12,795,509","$51,182,032"
207,Cam Newton,Panthers,2011,4,,"$22,025,498","$5,506,375","$22,025,498",,4.6%,,"$51,086,347","$12,771,588","$51,086,347"
208,Joe Burrow,Bengals,2020,4,,"$36,190,136","$9,047,534","$36,190,136",,4.6%,,"$50,980,252","$12,745,063","$50,980,252"
209,Cam Newton,Panthers,2021,1,,"$8,250,000","$8,250,000","$4,500,000",,4.5%,,"$12,621,370","$12,621,370","$6,884,384"
210,Chase Daniel,Eagles,2016,3,,"$21,000,000","$7,000,000","$12,000,000",,4.5%,,"$37,761,319","$12,587,106","$21,577,897"
211,Marcus Mariota,Falcons,2022,2,,"$18,750,000","$9,375,000","$6,750,000",,4.5%,,"$25,144,092","$12,572,046","$9,051,873"
212,Jared Goff,Rams,2016,4,,"$27,937,672","$6,984,418","$27,937,672",,4.5%,,"$50,236,350","$12,559,087","$50,236,350"
213,Chad Pennington,Dolphins,2010,1,,"$5,750,000","$5,750,000","$2,500,000",,4.5%,,"$12,444,961","$12,444,961","$5,410,853"
214,Marcus Mariota,Raiders,2020,2,,"$17,600,000","$8,800,000","$7,500,000",,4.4%,,"$24,792,735","$12,396,367","$10,565,086"
215,Jameis Winston,Buccaneers,2015,4,,"$25,351,277","$6,337,819","$25,351,277",,4.4%,,"$49,400,311","$12,350,077","$49,400,311"
216,Robert Griffin III,Commanders,2012,5,,"$21,119,098","$5,279,775","$21,119,098",,4.4%,,"$48,892,638","$12,223,161","$48,892,638"
217,Mitchell Trubisky,Bears,2017,4,,"$29,032,436","$7,258,109","$29,032,436",,4.3%,,"$48,538,061","$12,134,515","$48,538,061"
218,Carson Wentz,Eagles,2016,4,,"$26,676,338","$6,669,085","$26,676,338",,4.3%,,"$47,968,272","$11,992,069","$47,968,272"
219,Sam Darnold,NYJ/CAR,2018,4,,"$30,247,694","$7,561,924","$30,247,694",,4.3%,,"$47,658,895","$11,914,724","$47,658,895"
220,Marcus Mariota,Titans,2015,4,,"$24,213,974","$6,053,494","$24,213,974",,4.2%,,"$47,184,126","$11,796,032","$47,184,126"
221,Bryce Young,Panthers,2023,4,,"$37,955,074","$9,488,769","$37,955,074",,4.2%,,"$47,139,932","$11,784,984","$47,139,932"
222,Donovan McNabb,Vikings,2011,1,,"$5,050,000","$5,050,000",$0,,4.2%,,"$11,713,063","$11,713,063",$0
223,Kyle Orton,Bills,2014,2,,"$11,000,000","$5,500,000","$3,000,000",,4.1%,,"$23,091,729","$11,545,865","$6,297,744"
224,Joe Flacco,Ravens,2008,5,,"$23,800,000","$4,760,000","$8,360,000",,4.1%,,"$57,284,138","$11,456,828","$20,121,655"
225,Nick Foles,Bears,2020,3,,"$24,000,000","$8,000,000","$21,000,000",,4.0%,,"$33,808,274","$11,269,425","$29,582,240"
226,C.J. Stroud,Texans,2023,4,,"$36,279,246","$9,069,812","$36,279,246",,4.0%,,"$45,058,565","$11,264,642","$45,058,565"
227,Case Keenum,Commanders,2019,1,,"$7,500,000","$7,500,000","$7,500,000",,4.0%,,"$11,126,461","$11,126,461","$11,126,461"
228,Matt Cassel,MIN/BUF,2014,2,,"$10,500,000","$5,250,000","$5,650,000",,3.9%,,"$22,042,105","$11,021,053","$11,860,752"
229,Sam Darnold,Vikings,2024,1,,"$10,000,000","$10,000,000","$8,750,000",,3.9%,,"$10,931,872","$10,931,872","$9,565,388"
230,Blake Bortles,Jaguars,2014,4,,"$20,654,802","$5,163,701","$20,654,802",,3.9%,,"$43,359,554","$10,839,890","$43,359,554"
231,Caleb Williams,Bears,2024,4,,"$39,486,058","$9,871,515","$39,486,058",,3.9%,,"$43,165,652","$10,791,413","$43,165,652"
232,Teddy Bridgewater,Saints,2019,1,,"$7,250,000","$7,250,000","$7,250,000",,3.9%,,"$10,755,579","$10,755,579","$10,755,579"
233,Tua Tagovailoa,Dolphins,2020,4,,"$30,275,436","$7,568,859","$30,275,436",,3.8%,,"$42,648,344","$10,662,086","$42,648,344"
234,Anthony Richardson,Colts,2023,4,,"$33,994,030","$8,498,508","$33,994,030",,3.8%,,"$42,220,343","$10,555,086","$42,220,343"
235,Russell Wilson,Giants,2025,1,,"$10,500,000","$10,500,000","$10,000,000",,3.8%,,"$10,500,000","$10,500,000","$10,000,000"
236,Josh McCown,Buccaneers,2014,2,,"$10,000,000","$5,000,000","$4,750,000",,3.8%,,"$20,992,481","$10,496,241","$9,971,429"
237,Kurt Warner,Giants,2004,1,,"$3,000,000","$3,000,000","$1,500,000",,3.7%,,"$10,394,381","$10,394,381","$5,197,190"
238,Ryan Tannehill,MIA/TEN,2019,1,,"$7,000,000","$7,000,000","$6,750,000",,3.7%,,"$10,384,697","$10,384,697","$10,013,815"
239,Jayden Daniels,Commanders,2024,4,,"$37,746,650","$9,436,663","$37,746,650",,3.7%,,"$41,264,153","$10,316,039","$41,264,153"
240,Brian Hoyer,Texans,2015,2,,"$10,500,000","$5,250,000","$4,750,000",,3.7%,,"$20,460,637","$10,230,318","$9,256,002"
241,Josh McCown,Jets,2017,1,,"$6,000,000","$6,000,000","$6,000,000",,3.6%,,"$10,031,138","$10,031,138","$10,031,138"
242,Brian Hoyer,49ers,2017,2,,"$12,000,000","$6,000,000","$9,850,000",,3.6%,,"$20,062,275","$10,031,138","$16,467,784"
243,Drake Maye,Patriots,2024,4,,"$36,639,764","$9,159,941","$36,639,764",,3.6%,,"$40,054,119","$10,013,530","$40,054,119"
